SpecimenCode,Subfamily,Genus,Species,LifeStageSex,Medium,SpecimenNotes,DNANotes,LocatedAt,OwnedBy,TypeStatus,DeterminedBy,DateDetermined,CollectionCode,CollectedBy,DateCollectedStart,DateCollectedEnd,Method,Habitat,Microhabitat,CollectionNotes,LocalityName,Adm1,Adm2,Country,Elevation,ElevationMaxError,LocLatitude,LocLongitude,LatLonMaxError,BiogeographicRegion,LocalityNotes,LocalityCode
casent0277288,myrmicinae,solenopsis,invicta,1w,pin,,DNA voucher,CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277288-d01,myrmicinae,solenopsis,invicta,w,95% EtOH,,"3, sent for barcoding, Guelph CCDB-16446",CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277289,myrmicinae,solenopsis,invicta,1w,pin,,DNA voucher,CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277289-d01,myrmicinae,solenopsis,invicta,w,95% EtOH,,"3, sent for barcoding, Guelph CCDB-16446",CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277290,myrmicinae,solenopsis,invicta,1w,pin,,DNA voucher,CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277290-d01,myrmicinae,solenopsis,invicta,w,95% EtOH,,"3, sent for barcoding, Guelph CCDB-16446",CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277291,myrmicinae,solenopsis,invicta,1w,pin,,DNA voucher,CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277291-d01,myrmicinae,solenopsis,invicta,w,95% EtOH,,"3, sent for barcoding, Guelph CCDB-16446",CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277292,myrmicinae,solenopsis,invicta,1w,pin,,DNA voucher,CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277292-d01,myrmicinae,solenopsis,invicta,w,95% EtOH,,"3, sent for barcoding, Guelph CCDB-16446",CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0500523,myrmicinae,solenopsis,invicta,>15w,freezer,,ANTC1003-01,3: CS,,,B.L.Fisher,06/01/2005,ANTC1003,JR King,01/10/2001,,,,,,USDA-ARS CMAVE,Florida,Gainsville,United States,,,29.63861,-82.36639,,Nearctic,coordinates obtained from GPS,ANTC1003
casent0636196,myrmicinae,solenopsis,invicta,Adult worker,dry-mount,"J. Longino, 2 Mar 2014: old specimen code LACM ENT 142888 replaced with new specimen code CASENT0636196.",,JTLC,JTLC,,J. Longino,27/09/1999,JTL9Jun81/1130,J. Longino,09/06/1981,,search,,,,Longino Ranch,Florida,Sarasota Co.,United States,20,,27.15,-82.11667,minutes,Nearctic,,usfla001
casent0712595,myrmicinae,solenopsis,invicta,3w,95%EtOH,(1w mounted),,MMPC,MMPC,,"Prebus, M.M.",15/11/2013,MMP01296,M.M. Prebus,12/11/2013,12/11/2013,hand collecting,open area in oak woodland,nest under rock,,3.5km SW Austin,Texas,Travis,United States,145,,30.26373,-97.77716,20m,Nearctic,5m,
casent0712632,myrmicinae,solenopsis,invicta,1w,pin,,,MMPC,MMPC,,"Prebus, M.M.",10/10/2013,MMP01296,M.M. Prebus,12/11/2013,12/11/2013,hand collecting,open area in oak woodland,nest under rock,,3.5km SW Austin,Texas,Travis,United States,145,5m,30.26373,-97.77716,20m,Nearctic,,
casent0902350,myrmicinae,solenopsis,invicta,1w,pin,BMNH(E)1015403,,BMNH,"BMNH, London, U. K.",paratype of Solenopsis invicta,,,ANTC21785,Williams + Whitcomb,18/02/1971,,,,,,Cuiaba,Mato Grosso,,Brazil,,,,,,Neotropic,,Cuiaba
casent0913949,myrmicinae,solenopsis,invicta,1w,pin,,,NHMB,"NHMB, Basel, Switzerland",syntype of Solenopsis saevissima wagneri,,,,,,,,,,,,,,,,,,,,,,
fmnhins0000046107,myrmicinae,solenopsis,invicta,,,,,,,,,01/01/2004,FMNH.Emu.CE.IRN_173973,"M. Haseeb, G. B. Marshall",18/03/2004,18/03/2004,berlese sifted pine oak woods,,,,3.1 mi S. Cario Hwy 93,Georgia,,U.S.A.,,,,,,Nearctic,,FMN_H.Emu.Site.IRN_234682
fmnhins0000046108,myrmicinae,solenopsis,invicta,,,,,,,,,01/01/2007,FMNH.Emu.CE.IRN_175340,S. T. Dash,28/03/2002,28/03/2009,by hand,,,,Athena Sandy Creek St. Park,Georgia,,U.S.A.,,,,,,Nearctic,,FMN_H.Emu.Site.IRN_513
fmnhins0000062469,myrmicinae,solenopsis,invicta,,,,,,,,,,FMNH.Emu.CE.IRN_180877,J. R. King,01/10/2001,01/10/2001,,,,,"Gainesville, University of Florida Campus",Florida,,U.S.A.,-53,,29.64,-82.37,,Nearctic,,FMN_H.Emu.Site.IRN_338671
fmnhins0000062470,myrmicinae,solenopsis,invicta,,,,,,,,,,FMNH.Emu.CE.IRN_180877,J. R. King,01/10/2001,01/10/2001,,,,,"Gainesville, University of Florida Campus",Florida,,U.S.A.,-53,,29.64,-82.37,,Nearctic,,FMN_H.Emu.Site.IRN_338671
fmnhins0000062471,myrmicinae,solenopsis,invicta,,,,,,,,,,FMNH.Emu.CE.IRN_180877,J. R. King,01/10/2001,01/10/2001,,,,,"Gainesville, University of Florida Campus",Florida,,U.S.A.,-53,,29.64,-82.37,,Nearctic,,FMN_H.Emu.Site.IRN_338671
fmnhins0000062472,myrmicinae,solenopsis,invicta,,,,,,,,,,FMNH.Emu.CE.IRN_180877,J. R. King,01/10/2001,01/10/2001,,,,,"Gainesville, University of Florida Campus",Florida,,U.S.A.,-53,,29.64,-82.37,,Nearctic,,FMN_H.Emu.Site.IRN_338671
fmnhins0000062473,myrmicinae,solenopsis,invicta,,,,,,,,,,FMNH.Emu.CE.IRN_180877,J. R. King,01/10/2001,01/10/2001,,,,,"Gainesville, University of Florida Campus",Florida,,U.S.A.,-53,,29.64,-82.37,,Nearctic,,FMN_H.Emu.Site.IRN_338671
fmnhins0000062474,myrmicinae,solenopsis,invicta,,,,,,,,,,FMNH.Emu.CE.IRN_180877,J. R. King,01/10/2001,01/10/2001,,,,,"Gainesville, University of Florida Campus",Florida,,U.S.A.,-53,,29.64,-82.37,,Nearctic,,FMN_H.Emu.Site.IRN_338671
fmnhins0000062475,myrmicinae,solenopsis,invicta,,,,,,,,,,FMNH.Emu.CE.IRN_180877,J. R. King,01/10/2001,01/10/2001,,,,,"Gainesville, University of Florida Campus",Florida,,U.S.A.,-53,,29.64,-82.37,,Nearctic,,FMN_H.Emu.Site.IRN_338671
fmnhins0000062476,myrmicinae,solenopsis,invicta,,,,,,,,,,FMNH.Emu.CE.IRN_180877,J. R. King,01/10/2001,01/10/2001,,,,,"Gainesville, University of Florida Campus",Florida,,U.S.A.,-53,,29.64,-82.37,,Nearctic,,FMN_H.Emu.Site.IRN_338671
fmnhins0000062477,myrmicinae,solenopsis,invicta,,,,,,,,,,FMNH.Emu.CE.IRN_180877,J. R. King,01/10/2001,01/10/2001,,,,,"Gainesville, University of Florida Campus",Florida,,U.S.A.,-53,,29.64,-82.37,,Nearctic,,FMN_H.Emu.Site.IRN_338671
fmnhins0000062478,myrmicinae,solenopsis,invicta,,,,,,,,,,FMNH.Emu.CE.IRN_180877,J. R. King,01/10/2001,01/10/2001,,,,,"Gainesville, University of Florida Campus",Florida,,U.S.A.,-53,,29.64,-82.37,,Nearctic,,FMN_H.Emu.Site.IRN_338671
fmnhins0000062479,myrmicinae,solenopsis,invicta,,,,,,,,,,FMNH.Emu.CE.IRN_180877,J. R. King,01/10/2001,01/10/2001,,,,,"Gainesville, University of Florida Campus",Florida,,U.S.A.,-53,,29.64,-82.37,,Nearctic,,FMN_H.Emu.Site.IRN_338671
fmnhins0000062480,myrmicinae,solenopsis,invicta,,,,,,,,,,FMNH.Emu.CE.IRN_180877,J. R. King,01/10/2001,01/10/2001,,,,,"Gainesville, University of Florida Campus",Florida,,U.S.A.,-53,,29.64,-82.37,,Nearctic,,FMN_H.Emu.Site.IRN_338671
fmnhins0000062895,myrmicinae,solenopsis,invicta,,,,,,,,,,CSM1315,C. S. Moreau,27/08/2009,27/08/2009,,,,,"Big Pine Key, Big Pine Motel, Hwy 1",Florida,,U.S.A.,11,,24.67,-81.35,,Nearctic,,FMN_H.Emu.Site.IRN_339641
jtl0004423,myrmicinae,solenopsis,invicta,,,,,,,,J. Longino,,JTL1528,J. Longino,01/01/1987,,,,Pond edge in pine flatwoods. Colony floating on water surface. Entire floating m,"NOTEBY J.Longino: Pond edge in pine flatwoods. Colony floating on water surface. Entire floating mass collected. Photos. I later estimated colony size by counting workers and weighing subsamples. Estimate 122500 workers, 430 alate queens and males. I sieved the colony, separating sexuals. I picked out the single dealate queen I found, assuming she is the colony queen. I also found two scarab inquilines. The colony is stored in a jar, sexuals separated in two large vials, queen and inquilines isolated in small vial.",Longino Ranch,Florida,Sarasota Co.,United States,20,,27.15,-82.11667,minutes,Nearctic,,usfla001
jtl0004424,myrmicinae,solenopsis,invicta,,,,,,,,J. Longino,,JTL2601-s,J. Longino,30/12/1989,,search,beach margin,,,"Turtle Beach,Saras.",Florida,Sarasota Co.,United States,5,,27.216667,-82.51667,unknown,Nearctic,,usfla009
jtl016504,myrmicinae,solenopsis,invicta,,observation,,,no specimen,,,J. Longino,01/03/1991,JTL2854-s,J. Longino,05/03/1991,,Winkler,hammock,leaf litter,,Myakka River State Park,Florida,Sarasota Co.,United States,5,,27.26667,-82.28333,minutes,Nearctic,,usfla008
jtl016505,myrmicinae,solenopsis,invicta,,observation,,,no specimen,,,J. Longino,01/03/1991,JTL2814-s,J. Longino,26/02/1991,,search,"oak/palm, picnic area",,,Myakka River State Park,Florida,Sarasota Co.,United States,5,,27.26667,-82.28333,minutes,Nearctic,,usfla008
jtl016506,myrmicinae,solenopsis,invicta,,observation,,,no specimen,,,J. Longino,01/03/1991,JTL2862-s,J. Longino,07/03/1991,,Winkler,hammock,leaf litter,,Myakka River State Park,Florida,Sarasota Co.,United States,5,,27.26667,-82.28333,minutes,Nearctic,,usfla008
jtlc-vial-001788,myrmicinae,solenopsis,invicta,,ethanol,,,JTLC,JTLC,,J. Longino,08/02/2008,JTL1528,J. Longino,01/01/1987,,,,Pond edge in pine flatwoods. Colony floating on water surface. Entire floating m,"NOTEBY J.Longino: Pond edge in pine flatwoods. Colony floating on water surface. Entire floating mass collected. Photos. I later estimated colony size by counting workers and weighing subsamples. Estimate 122500 workers, 430 alate queens and males. I sieved the colony, separating sexuals. I picked out the single dealate queen I found, assuming she is the colony queen. I also found two scarab inquilines. The colony is stored in a jar, sexuals separated in two large vials, queen and inquilines isolated in small vial.",Longino Ranch,Florida,Sarasota Co.,United States,20,,27.15,-82.11667,minutes,Nearctic,,usfla001
lacm ent 142871,myrmicinae,solenopsis,invicta,worker queen,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,JTL26Jul83/1734,J. Longino,26/07/1983,,,,"palm/oak hammock, 1734: solenopsis another colony as above (1720)","NOTEBY J.Longino: palm/oak hammock, 1734: solenopsis another colony as above (1720)",Longino Ranch,Florida,Sarasota Co.,United States,20,,27.15,-82.11667,minutes,Nearctic,,usfla001
lacm ent 142872,myrmicinae,solenopsis,invicta,worker queen,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,JTL26Jul83/1720,J. Longino,26/07/1983,,,,"palm/oak hammock, 1720: solenopsis small crater in sand, queen 5-10cm down.","NOTEBY J.Longino: palm/oak hammock, 1720: solenopsis small crater in sand, queen 5-10cm down.",Longino Ranch,Florida,Sarasota Co.,United States,20,,27.15,-82.11667,minutes,Nearctic,,usfla001
